date,value,anomaly
2016-05-01,608.8039431611093,0
2016-06-01,609.2442070241439,0
2016-07-01,608.7419648294002,0
2016-08-01,609.1160647036171,0
2016-09-01,609.7345442113563,0
2016-10-01,405.3407749934968,1
2016-11-01,609.5971277282027,0
2016-12-01,607.773393865035,0
2017-01-01,609.9080785537648,0
2017-02-01,608.2030423424449,0
2017-03-01,608.8507587277414,0
2017-04-01,819.5709822699276,1
2017-05-01,607.6338291763324,0
2017-06-01,609.0069519366152,0
2017-07-01,607.4959475248046,0
2017-08-01,607.9504850985307,0
2017-09-01,609.8896985697057,0
2017-10-01,608.8227630251625,0
2017-11-01,608.5508072513354,0
2017-12-01,607.8411435762232,0
2018-01-01,608.2088827988017,0
2018-02-01,608.7837922828294,0
2018-03-01,606.4025464735251,0
2018-04-01,608.62357313981,0
2018-05-01,607.280133817482,0
2018-06-01,607.9035897922655,0
2018-07-01,914.1497080372536,1
2018-08-01,608.9071511391129,0
2018-09-01,1347.0438359433488,1
2018-10-01,608.5941473565086,0
2018-11-01,608.3083388381726,0
2018-12-01,4225.786177384638,1
2019-01-01,608.041339732541,0
2019-02-01,609.9493576571011,0
2019-03-01,609.0998855728773,0
2019-04-01,610.9830702176899,0
2019-05-01,609.7112322116977,0
2019-06-01,609.8756337725835,0
2019-07-01,608.5077590047157,0
2019-08-01,609.1086479067328,0
2019-09-01,738.4252881127182,1
2019-10-01,609.7877445398201,0
2019-11-01,609.9458112701952,0
2019-12-01,609.2642732392701,0
2020-01-01,609.7476257614227,0
2020-02-01,609.4730776168441,0
2020-03-01,611.6564817752078,0
2020-04-01,608.7822547195028,0
